#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310383.460,00000000,0000,1114;2253,310383.460262560,1.422564243e-09,8.886612205e-10,-18.000000000,VALID*17b906f0
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310384.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465283633,32.04320847088,186.8869,17.3616,WGS84,0.3954,0.8064,1.8227,"",0.000,94.000,22,22,22,22,191,0,0,25*369e4ba6
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310384.460,00000000,0000,1114;2253,310384.460244320,-1.477508867e-09,1.043398310e-09,-18.000000000,VALID*3efdc06e
$GPGGA,141247.00,5447.6793519,N,03202.5921377,E,1,22,1.3,186.6825,M,17.362,M,,*57
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310385.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465219097,32.04320822717,186.1151,17.3616,WGS84,0.4435,0.9046,2.0446,"",0.000,95.000,22,22,22,22,191,0,0,25*d4222e22
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310385.460,00000000,0000,1114;2253,310385.460314800,-3.933510793e-09,3.116570860e-09,-18.000000000,VALID*c9923b53
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310386.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464645509,32.04323577118,188.4065,17.3616,WGS84,0.3965,0.8086,1.8275,"",0.000,96.000,22,22,22,22,175,0,0,25*2c4288e8
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310386.460,00000000,0000,1114;2253,310386.460248120,4.169964069e-09,2.953626616e-09,-18.000000000,VALID*99e3b201
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310387.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464972256,32.04322682132,188.4263,17.3616,WGS84,0.3590,0.7321,1.6546,"",0.000,97.000,22,22,22,22,191,0,0,25*e1b3654c
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310387.460,00000000,0000,1114;2253,310387.460250000,-2.661760124e-09,1.707287849e-09,-18.000000000,VALID*90fc7360
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310388.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465463892,32.04320471153,186.8843,17.3616,WGS84,0.3925,0.8004,1.8090,"",0.000,98.000,22,22,22,22,191,0,0,25*17d9ff42
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310388.460,00000000,0000,1114;2253,310388.460303400,-1.062814012e-08,7.454428775e-09,-18.000000000,VALID*cc987800
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310389.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465619777,32.04320463084,188.1225,17.3616,WGS84,0.3578,0.7297,1.6492,"",0.000,99.000,22,22,22,22,191,0,0,25*d8b59014
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310389.460,00000000,0000,1114;2253,310389.460242240,-1.985347287e-09,1.269667896e-09,-18.000000000,VALID*94233611
$GPGGA,141252.00,5447.6792241,N,03202.5922441,E,1,22,1.3,188.1220,M,17.362,M,,*5F
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310390.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464858688,32.04321789959,188.9453,17.3616,WGS84,0.3649,0.7440,1.6815,"",0.000,100.000,22,22,22,22,191,0,0,25*34a5ee97
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310390.460,00000000,0000,1114;2253,310390.460256360,2.411035538e-09,1.572424378e-09,-18.000000000,VALID*bd3ab141
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310391.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465649255,32.04318763965,187.8736,17.3616,WGS84,0.3382,0.6896,1.5585,"",0.000,101.000,22,22,22,22,191,0,0,25*9c28fd52
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310391.460,00000000,0000,1114;2253,310391.460205080,-8.443046992e-09,5.104305124e-09,-18.000000000,VALID*8c882a08
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310392.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79466521631,32.04316087739,187.9593,17.3617,WGS84,0.4153,0.8469,1.9139,"",0.000,102.000,22,22,22,22,191,0,0,25*284b08e9
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310392.460,00000000,0000,1114;2253,310392.460175360,-6.825885243e-09,5.068580143e-09,-18.000000000,VALID*4fbe6c2f
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310393.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465522223,32.04319515813,189.3798,17.3616,WGS84,0.3905,0.7962,1.7993,"",0.000,103.000,22,22,22,22,175,0,0,25*ce2569b8
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310393.460,00000000,0000,1114;2253,310393.460141600,1.106417438e-08,7.725207140e-09,-18.000000000,VALID*05f41546
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310394.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465384242,32.04319907959,188.9090,17.3616,WGS84,0.3673,0.7489,1.6923,"",0.000,104.000,22,22,22,22,191,0,0,25*a700b254
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310394.460,00000000,0000,1114;2253,310394.460161360,1.306416938e-08,8.580803047e-09,-18.000000000,VALID*aa056793
$GPGGA,141257.00,5447.6792716,N,03202.5919317,E,1,22,1.3,188.8473,M,17.362,M,,*58
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310395.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465357964,32.04320259821,188.5580,17.3616,WGS84,0.3312,0.6752,1.5258,"",0.000,105.000,22,22,22,22,191,0,0,25*c086325b
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310395.460,00000000,0000,1114;2253,310395.460204480,7.264746712e-09,4.302712448e-09,-18.000000000,VALID*15f50b54
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310396.460,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465601254,32.04320136952,188.3146,17.3616,WGS84,0.3101,0.6321,1.4285,"",0.000,106.000,22,22,22,22,191,0,0,25*ba638c0a
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310396.460,00000000,0000,1114;2253,310396.460147200,1.594337421e-09,8.842447347e-10,-18.000000000,VALID*6239af03
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310397.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465355981,32.04321085553,188.3333,17.3616,WGS84,0.3124,0.6368,1.4390,"",0.000,107.000,22,22,22,22,191,0,0,25*b3ff6825
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310397.461,00000000,0000,1114;2253,310397.461154720,4.692006731e-09,2.621785200e-09,-18.000000000,VALID*1a925530
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310398.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464330688,32.04324845540,189.6809,17.3616,WGS84,0.3960,0.8072,1.8240,"",0.000,108.000,22,22,22,22,191,0,0,25*e4499758
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310398.461,00000000,0000,1114;2253,310398.461129000,1.293269574e-08,9.161654502e-09,-18.000000000,VALID*6933860c
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310399.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463785803,32.04326766376,190.3279,17.3616,WGS84,0.4703,0.9588,2.1665,"",0.000,109.000,22,22,22,22,191,0,0,25*ddc341a3
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310399.461,00000000,0000,1114;2253,310399.461128760,1.100091128e-08,9.258019179e-09,-18.000000000,VALID*c1fc6fa2
$GPGGA,141302.00,5447.6781936,N,03202.5965129,E,1,22,1.3,190.4219,M,17.362,M,,*5C
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310400.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464161723,32.04325716759,190.0014,17.3616,WGS84,0.4707,0.9594,2.1680,"",0.000,110.000,22,22,22,22,175,0,0,25*25831932
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310400.461,00000000,0000,1114;2253,310400.461115880,1.130575409e-09,9.522899989e-10,-18.000000000,VALID*488aaea2
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310401.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463054625,32.04329787396,191.2615,17.3616,WGS84,0.5890,1.2006,2.7129,"",0.000,111.000,22,22,22,22,175,0,0,25*36775670
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310401.461,00000000,0000,1114;2253,310401.461085120,5.742234110e-09,6.053248240e-09,-18.000000000,VALID*814d7713
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310402.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463641971,32.04326931473,190.4714,17.3616,WGS84,0.5106,1.0407,2.3516,"",0.000,112.000,22,22,22,22,175,0,0,25*7d09fb42
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310402.461,00000000,0000,1114;2253,310402.461076280,3.197126393e-09,2.921906737e-09,-18.000000000,VALID*ff00a57e
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310403.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463929570,32.04325355256,189.2328,17.3616,WGS84,0.3895,0.7939,1.7938,"",0.000,113.000,22,22,22,22,191,0,0,25*0357c9c6
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310403.461,00000000,0000,1114;2253,310403.461089600,-4.666069993e-09,3.253559887e-09,-18.000000000,VALID*bf646f83
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310404.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465436536,32.04320720279,187.9130,17.3616,WGS84,0.3482,0.7098,1.6037,"",0.000,114.000,22,22,22,22,175,0,0,25*763cc81e
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310404.461,00000000,0000,1114;2253,310404.461064680,-1.452890315e-08,9.058502580e-09,-18.000000000,VALID*587877f4
$GPGGA,141307.00,5447.6795634,N,03202.5912444,E,1,22,1.3,187.3884,M,17.362,M,,*50
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310405.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465847904,32.04318895308,187.3279,17.3616,WGS84,0.4049,0.8252,1.8645,"",0.000,115.000,22,22,22,22,175,0,0,25*77ce3063
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310405.461,00000000,0000,1114;2253,310405.461067520,-1.208652758e-08,8.762761848e-09,-18.000000000,VALID*8f3b771e
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310406.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79466843732,32.04315084554,185.5901,17.3617,WGS84,0.4353,0.8872,2.0045,"",0.000,116.000,22,22,22,22,191,0,0,25*5598a943
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310406.461,00000000,0000,1114;2253,310406.461052080,-1.421200248e-08,1.107920066e-08,-18.000000000,VALID*0c8bd147
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310407.461,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79466284211,32.04315794048,186.0075,17.3617,WGS84,0.5007,1.0203,2.3053,"",0.000,117.000,22,22,22,22,191,0,0,25*4e85b3f2
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310407.461,00000000,0000,1114;2253,310407.461040640,-4.963397246e-09,4.450646431e-09,-18.000000000,VALID*4d10fa2b
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310408.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465726728,32.04317710345,186.9760,17.3616,WGS84,0.4717,0.9612,2.1716,"",0.000,118.000,22,22,22,22,191,0,0,25*0464801a
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310408.462,00000000,0000,1114;2253,310408.461556680,7.060167876e-10,5.964822888e-10,-18.000000000,VALID*3e13afa6
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310409.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79466095671,32.04316143620,187.3100,17.3617,WGS84,0.5338,1.0877,2.4575,"",0.000,119.000,22,22,22,22,191,0,0,25*3f3c9d67
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310409.462,00000000,0000,1114;2253,310409.461560280,-1.672965805e-09,1.599720348e-09,-18.000000000,VALID*0a94afad
$GPGGA,141312.00,5447.6792695,N,03202.5914420,E,1,22,1.3,188.6932,M,17.362,M,,*5A
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310410.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79465513121,32.04319097451,188.4587,17.3616,WGS84,0.3669,0.7475,1.6888,"",0.000,120.000,22,22,22,22,191,0,0,25*02801602
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310410.463,00000000,0000,1114;2253,310410.462552240,4.234140189e-09,2.782924900e-09,-18.000000000,VALID*cc7c0edd
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310411.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79464798316,32.04321802605,189.2339,17.3616,WGS84,0.3628,0.7392,1.6699,"",0.000,121.000,22,22,22,22,191,0,0,25*938dcf63
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310411.463,00000000,0000,1114;2253,310411.462548160,1.018774001e-08,6.622106410e-09,-18.000000000,VALID*2801f596
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310412.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463700188,32.04325761657,190.4694,17.3616,WGS84,0.4756,0.9691,2.1895,"",0.000,122.000,22,22,22,22,191,0,0,25*e2c8e0a3
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310412.463,00000000,0000,1114;2253,310412.462543160,1.316642629e-08,1.122271228e-08,-18.000000000,VALID*3a4d7509
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310413.462,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79463453369,32.04327370064,191.6390,17.3616,WGS84,0.5202,1.0599,2.3944,"",0.000,123.000,22,22,22,22,191,0,0,25*49db20ca
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310413.462,00000000,0000,1114;2253,310413.461968560,1.133195696e-08,1.056508530e-08,-18.000000000,VALID*ee374d2d
#MARKPOSA,COM1,0,60.0,FINESTEERING,2253,310414.463,00000000,0000,1114;SOL_COMPUTED,SINGLE,54.79461235702,32.04335217481,194.1915,17.3615,WGS84,0.8216,1.6738,3.7813,"",0.000,124.000,22,22,22,22,191,0,0,25*29f2c62d
#MARKTIMEA,COM1,0,60.0,FINESTEERING,2253,310414.463,00000000,0000,1114;2253,310414.462525040,1.836436334e-08,2.704344021e-08,-18.000000000,VALID*98a1ab1a
$GPGGA,141317.00,5447.6774423,N,03202.5986752,E,1,22,1.3,192.6738,M,17.362,M,,*5A
